ueid,session_id,avgcqi,avgmcs,avgri,avg_rv0_tx,tbler,session_rca
17022,116110,12.21,11.45,1.78,7.22,0.0,Good UE
17023,225456,11.24,2.05,1.4,6.0,0.0,MCS Limitation
17209,244506,9.36,11.55,1.97,6.33,0.93,Good UE
17025,206782,12.84,8.13,3.46,9.0,0.0,Good UE
17023,223806,12.91,2.03,2.14,8.0,0.0,MCS Limitation
17206,190058,11.6,14.02,2.56,8.67,0.0,Good UE
17019,314934,10.74,15.65,2.8,7.5,0.0,Good UE
17021,203931,12.74,16.45,2.43,7.33,0.0,Good UE
17022,113410,11.35,14.6,2.18,7.56,0.0,Good UE
17164,332484,13.38,1.36,1.44,8.0,0.0,MCS Limitation
17205,219232,13.85,7.88,2.33,8.0,0.0,Good UE
17164,331959,14.98,3.05,1.15,8.0,0.0,MCS Limitation
17164,331884,8.46,2.43,3.52,7.0,0.0,MCS Limitation
17209,240381,12.73,14.71,2.59,8.67,0.93,Good UE
17022,111235,11.7,12.78,2.3,6.33,0.0,Good UE
17017,77185,13.29,15.64,2.38,6.5,0.0,Good UE
17023,219156,10.48,2.86,2.05,9.0,0.0,MCS Limitation
17209,239931,12.16,6.57,3.05,7.33,0.93,Good UE
17018,185556,11.95,20.0,2.58,8.67,0.0,Good UE
17021,200481,11.54,17.65,2.67,7.89,0.0,Good UE
17206,184658,13.51,15.41,2.84,5.67,0.0,Good UE
17209,238431,11.19,16.02,2.4,8.33,0.93,Good UE
17164,328734,10.85,0.94,3.01,6.0,0.0,MCS Limitation
17023,233931,9.79,3.26,1.19,9.0,0.0,MCS Limitation
17025,200707,8.96,11.32,1.6,7.5,0.0,Good UE
17023,233781,10.41,0.15,2.96,3.0,0.0,MCS Limitation
17164,328134,9.13,1.81,1.21,2.0,0.0,MCS Limitation
17025,200407,14.06,9.4,2.5,8.0,0.0,Good UE
17206,183383,11.52,18.96,2.45,6.0,0.0,Good UE
17025,199807,12.03,9.98,1.97,9.0,0.0,Good UE
17209,236931,12.06,5.42,2.58,8.0,0.93,Good UE
17021,215331,12.4,13.26,2.8,5.56,0.0,Good UE
17164,344709,8.5,4.62,2.19,6.0,0.0,MCS Limitation
17021,214206,12.27,15.52,3.26,7.56,0.0,Good UE
17164,343809,6.38,4.27,1.17,9.0,0.0,MCS Limitation
17019,323184,10.64,19.34,3.09,7.5,0.0,Good UE
17209,236331,10.56,13.78,3.09,7.67,0.93,Good UE
17020,103435,12.04,15.06,3.16,8.5,0.0,Good UE
17018,195306,12.83,11.71,2.36,8.0,0.0,Good UE
17205,228757,14.09,17.71,2.77,8.5,0.0,Good UE
17020,101410,12.93,13.43,2.94,6.0,0.0,Good UE
17023,226656,7.41,2.89,1.42,8.0,0.0,MCS Limitation
17020,100285,13.84,9.92,1.5,7.0,0.0,Good UE
17204,357834,7.67,20.45,3.26,7.5,2.63,Good UE
17017,83335,12.68,21.34,2.83,7.75,0.0,Good UE
17205,226732,10.66,15.18,3.33,6.5,0.0,Good UE
17017,83110,11.01,8.53,2.08,8.5,0.0,Good UE
17023,225531,11.39,2.41,1.62,5.0,0.0,MCS Limitation
17020,99010,9.81,12.84,2.55,8.5,0.0,Good UE
17025,207457,10.42,16.86,3.45,6.5,0.0,Good UE
17022,116035,13.06,17.9,2.51,8.0,0.0,Good UE
17018,189906,10.79,7.09,2.05,8.67,0.0,Good UE
17164,337059,9.35,0.74,2.69,9.0,0.0,MCS Limitation
17023,223506,7.72,1.81,2.28,8.0,0.0,MCS Limitation
17164,333534,8.32,1.27,1.35,9.0,0.0,MCS Limitation
17164,332034,7.04,0.07,1.8,9.0,0.0,MCS Limitation
17019,312534,12.55,14.16,2.0,7.5,0.0,Good UE
17164,331359,12.72,4.8,1.27,9.0,0.0,MCS Limitation
17023,219756,6.35,0.54,2.5,9.0,0.0,MCS Limitation
17209,238281,11.68,13.47,1.76,7.67,0.93,Good UE
17020,91060,13.45,7.66,2.34,8.5,0.0,Good UE
17206,182108,11.9,12.13,1.99,7.67,0.0,Good UE
17022,126610,13.33,14.97,2.15,6.44,0.0,Good UE
17164,329034,7.24,4.98,3.34,7.0,0.0,MCS Limitation
17018,182256,11.96,12.4,2.4,7.0,0.0,Good UE
17017,73210,14.1,13.74,2.15,8.0,0.0,Good UE
17206,197483,12.1,13.93,1.65,8.67,0.0,Good UE
17204,347484,8.28,19.84,3.01,7.0,2.63,Good UE
17025,213757,14.24,21.71,2.17,7.0,0.0,Good UE
17021,217731,12.93,12.4,2.7,8.0,0.0,Good UE
17017,90460,9.94,9.23,2.61,7.75,0.0,Good UE
17164,327084,9.04,2.0,1.89,8.0,0.0,MCS Limitation
17206,195983,10.97,10.5,2.26,7.67,0.0,Good UE
17164,344034,9.67,0.32,3.09,9.0,0.0,MCS Limitation
17017,89335,12.07,14.66,2.94,6.5,0.0,Good UE
17206,195683,12.04,18.1,2.24,7.0,0.0,Good UE
17022,121210,12.24,9.54,2.63,6.78,0.0,Good UE
17025,212182,12.42,17.9,1.91,8.5,0.0,Good UE
17019,324234,12.25,5.27,3.07,8.5,0.0,Good UE
17018,196581,12.9,17.36,2.93,8.0,0.0,Good UE
17020,104035,12.92,11.2,2.16,7.5,0.0,Good UE
17164,341109,10.64,3.3,3.06,7.0,0.0,MCS Limitation
17019,320709,12.71,4.91,1.63,8.0,0.0,Good UE
17020,102535,12.92,10.96,3.64,8.0,0.0,Good UE
17023,226281,10.13,1.27,1.67,8.0,0.0,MCS Limitation
17023,226056,7.75,0.67,3.63,8.0,0.0,MCS Limitation
17025,207232,11.67,13.42,2.27,7.5,0.0,Good UE
17206,188933,12.5,8.25,3.51,8.0,0.0,Good UE
17018,190956,14.13,18.89,2.87,7.0,0.0,Good UE
17023,224256,13.77,3.09,1.29,8.0,0.0,MCS Limitation
17022,114085,12.98,12.26,2.8,7.0,0.0,Good UE
17206,187808,10.44,13.65,2.29,7.33,0.0,Good UE
17204,351234,14.4,20.1,2.57,7.5,2.63,Good UE
17205,221707,11.21,15.57,2.67,8.5,0.0,Good UE
17206,186233,11.0,14.95,3.09,6.67,0.0,Good UE
17018,186456,12.04,12.86,2.62,8.33,0.0,Good UE
17025,203707,12.04,10.44,1.86,5.5,0.0,Good UE
17017,76810,12.47,5.87,1.83,8.25,0.0,Good UE
17022,111985,12.56,14.26,2.26,7.11,0.0,Good UE
17209,240981,13.59,8.74,2.59,7.67,0.93,Good UE
17017,75760,11.37,17.21,1.91,7.0,0.0,Good UE
17021,204081,11.08,14.13,2.87,7.33,0.0,Good UE
17023,219981,7.31,3.84,1.98,8.0,0.0,MCS Limitation
17025,200557,13.84,19.13,2.01,6.0,0.0,Good UE
17018,182181,9.6,10.78,2.58,4.67,0.0,Good UE
17021,200706,12.68,19.03,3.03,8.33,0.0,Good UE
17021,200031,12.57,15.58,2.45,7.78,0.0,Good UE
17025,199657,13.63,25.34,2.54,9.0,0.0,Good UE
17018,181581,12.67,17.18,2.52,8.33,0.0,Good UE
17025,216907,10.69,17.41,1.57,9.0,0.0,Good UE
17019,321684,14.1,10.13,2.54,7.5,0.0,Good UE
17204,357084,10.46,16.39,2.03,7.0,2.63,Good UE
17205,228382,13.28,16.97,2.12,8.0,0.0,Good UE
17019,319809,11.71,16.9,3.51,6.5,0.0,Good UE
17025,210307,10.08,14.88,2.52,7.0,0.0,Good UE
17025,208732,12.93,13.05,1.92,9.0,0.0,Good UE
17025,207982,9.55,22.46,2.3,2.5,0.0,Good UE
17204,352734,10.84,12.65,2.19,9.0,2.63,Good UE
17204,352659,13.13,13.93,1.9,8.0,2.63,Good UE
17020,94960,13.75,11.88,2.59,7.0,0.0,Good UE
17205,220657,12.49,8.65,3.59,8.0,0.0,Good UE
17205,220432,11.43,8.38,1.4,8.0,0.0,Good UE
17025,202282,12.31,13.64,1.94,7.5,0.0,Good UE
17020,91435,12.0,13.51,2.81,6.0,0.0,Good UE
17020,91135,10.92,3.97,2.37,5.5,0.0,Good UE
17205,235357,12.67,14.53,2.25,4.5,0.0,Good UE
17209,236706,11.67,11.32,2.61,7.33,0.93,Good UE
17020,102985,12.38,15.05,2.73,8.0,0.0,Good UE
17205,229132,13.15,7.97,2.27,6.5,0.0,Good UE
17020,100360,12.06,9.02,3.0,8.0,0.0,Good UE
17205,226657,14.64,13.45,1.67,5.0,0.0,Good UE
17018,191331,12.14,13.99,1.76,6.67,0.0,Good UE
17021,207381,11.62,10.8,2.13,8.78,0.0,Good UE
17025,207082,13.31,1.94,1.91,7.5,0.0,Good UE
17206,190208,12.95,11.88,2.16,7.0,0.0,Good UE
17025,204907,10.01,11.69,1.89,7.0,0.0,Good UE
17204,353409,13.82,19.11,2.21,8.5,2.63,Good UE
17025,202057,14.39,5.55,2.23,6.5,0.0,Good UE
17204,351384,9.74,10.0,2.61,9.0,2.63,Good UE
17206,183458,8.6,11.93,1.97,7.0,0.0,Good UE
17206,182333,8.91,6.23,1.6,6.33,0.0,Good UE
17020,108310,13.68,11.69,1.53,8.0,0.0,Good UE
17206,196583,11.21,6.8,3.28,8.0,0.0,Good UE
17021,216831,13.64,18.72,2.53,7.56,0.0,Good UE
17019,323259,9.09,18.37,2.03,8.0,0.0,Good UE
17204,362184,12.05,7.0,1.52,6.0,2.63,Good UE
17017,79810,12.21,22.21,2.82,6.25,0.0,Good UE
17019,312759,12.62,11.14,2.66,8.5,0.0,Good UE
17019,312684,9.57,8.79,1.8,7.0,0.0,Good UE
17025,201682,10.87,19.57,2.18,9.0,0.0,Good UE
17025,200257,10.57,11.89,2.84,7.5,0.0,Good UE
17123,144910,2.9,9.48,1.06,9.0,76.92,Channel Quality Bad
17024,198832,10.56,25.0,1.1,0.0,0.0,No_TX
17123,144685,1.54,12.37,3.84,9.0,76.92,Channel Quality Bad
17208,161860,6.53,16.71,3.0,1.75,0.0,No_TX
17207,216308,3.86,13.42,2.38,8.33,0.0,Channel Quality Bad
17123,143185,4.64,14.96,2.72,9.0,76.92,Channel Quality Bad
17024,197407,10.74,16.49,3.55,4.0,0.0,No_TX
17208,160285,7.09,9.12,2.99,0.25,0.0,No_TX
17208,160060,8.89,15.98,2.79,2.0,0.0,No_TX
17024,195382,5.43,9.07,3.39,0.0,0.0,No_TX
17207,212858,3.05,12.15,2.75,8.0,0.0,Channel Quality Bad
17025,211507,9.18,15.91,1.36,5.5,0.0,Good UE
17024,192307,5.39,9.96,3.24,3.0,0.0,No_TX
17207,209633,1.64,22.38,2.32,7.33,0.0,Channel Quality Bad
17123,135985,0.44,26.16,3.07,8.0,76.92,Channel Quality Bad
17123,135460,4.69,26.63,2.45,9.0,76.92,Channel Quality Bad
17024,189232,10.67,15.37,2.76,3.0,0.0,No_TX
17208,151360,8.7,12.42,1.87,2.25,0.0,No_TX
17123,132685,0.84,13.23,2.5,5.0,76.92,Channel Quality Bad
17208,149110,9.23,11.47,2.28,2.25,0.0,No_TX
17207,204008,3.18,12.79,3.49,7.0,0.0,Channel Quality Bad
17207,203633,2.71,3.47,3.08,8.0,0.0,Channel Quality Bad
17123,143260,1.2,3.05,2.54,7.0,76.92,Channel Quality Bad
17207,200333,3.17,13.44,2.02,7.67,0.0,Channel Quality Bad
17024,182032,12.49,13.15,1.22,4.0,0.0,No_TX
17207,215858,2.52,15.1,2.19,9.0,0.0,Channel Quality Bad
17207,215558,3.46,7.62,2.51,7.67,0.0,Channel Quality Bad
17024,194407,7.25,22.98,3.95,4.0,0.0,No_TX
17123,137710,4.24,8.13,1.51,9.0,76.92,Channel Quality Bad
17024,193807,12.81,23.36,1.37,2.0,0.0,No_TX
17208,156460,10.11,12.52,2.15,2.25,0.0,No_TX
17024,193057,3.35,5.51,3.77,2.0,0.0,No_TX
17024,190807,10.99,10.89,2.91,3.0,0.0,No_TX
17208,154360,6.78,15.11,1.69,1.0,0.0,No_TX
17123,131260,0.87,13.83,1.21,9.0,76.92,Channel Quality Bad
17024,186682,12.13,4.62,3.38,3.0,0.0,No_TX
17208,151660,7.33,12.64,1.61,2.0,0.0,No_TX
17123,130285,3.38,5.18,3.63,8.0,76.92,Channel Quality Bad
17123,129910,2.25,3.26,2.99,4.0,76.92,Channel Quality Bad
17207,206783,1.72,8.79,2.32,9.0,0.0,Channel Quality Bad
17123,128335,2.11,24.9,2.16,9.0,76.92,Channel Quality Bad
17207,203258,2.17,24.43,2.19,6.33,0.0,Channel Quality Bad
17123,144535,2.06,21.68,1.56,8.0,76.92,Channel Quality Bad
17207,200783,2.5,19.2,2.24,6.67,0.0,Channel Quality Bad
17123,142585,3.77,20.58,3.27,3.0,76.92,Channel Quality Bad
17123,141010,4.67,6.21,1.84,9.0,76.92,Channel Quality Bad
17207,216758,2.78,5.54,1.83,7.33,0.0,Channel Quality Bad
17207,215183,0.74,19.76,2.74,8.33,0.0,Channel Quality Bad
17208,159535,8.84,11.02,2.43,2.75,0.0,No_TX
17123,140110,1.18,7.47,3.53,9.0,76.92,Channel Quality Bad
17207,213983,1.25,8.81,2.66,7.67,0.0,Channel Quality Bad
17207,213458,3.06,9.33,2.97,8.33,0.0,Channel Quality Bad
17025,207757,13.37,12.67,2.12,9.0,0.0,Good UE
17123,134785,2.14,6.9,1.96,7.0,76.92,Channel Quality Bad
17024,191557,11.64,26.61,3.38,3.0,0.0,No_TX
17024,189832,2.3,4.07,1.56,1.0,0.0,No_TX
17123,132460,1.22,17.96,2.2,9.0,76.92,Channel Quality Bad
17123,132310,3.49,12.29,1.29,9.0,76.92,Channel Quality Bad
17024,187957,2.8,24.25,3.04,3.0,0.0,No_TX
17019,313509,12.72,6.23,3.08,6.0,0.0,Good UE
17207,203558,1.84,7.57,2.63,6.0,0.0,Channel Quality Bad
17208,148885,6.37,13.38,2.56,2.5,0.0,No_TX
17024,186232,8.56,6.64,2.94,3.0,0.0,No_TX
17208,147910,10.54,16.4,1.75,1.0,0.0,No_TX
17208,146935,8.45,6.35,2.33,2.25,0.0,No_TX
17024,183457,6.3,14.92,2.81,0.0,0.0,No_TX
17208,146110,4.08,16.45,2.94,1.0,0.0,No_TX
17164,290174,12.26,1.58,3.86,8.0,0.0,MCS Limitation
17204,163123,10.61,20.73,2.36,8.5,2.63,Good UE
17021,235724,12.93,12.82,2.75,7.33,0.0,Good UE
17206,143922,12.72,8.51,2.21,5.33,0.0,Good UE
17204,160723,9.25,16.84,1.45,9.0,2.63,Good UE
17023,160721,7.65,3.54,2.76,3.0,0.0,MCS Limitation
17018,124196,12.25,11.8,2.99,8.0,0.0,Good UE
17206,141222,13.12,14.03,3.1,7.33,0.0,Good UE
17209,178572,11.6,7.22,2.84,6.33,0.93,Good UE
17025,177971,12.89,12.78,1.7,8.0,0.0,Good UE
17164,287249,11.06,3.48,2.35,9.0,0.0,MCS Limitation
17023,159596,7.06,1.09,3.69,8.0,0.0,MCS Limitation
17205,301349,10.3,16.82,1.75,8.0,0.0,Good UE
17206,139272,11.95,17.93,2.72,8.33,0.0,Good UE
17018,120221,13.55,9.76,3.18,7.0,0.0,Good UE
17022,247349,11.39,13.35,2.64,6.56,0.0,Good UE
17022,247124,11.36,11.53,2.1,7.56,0.0,Good UE
17164,284774,13.08,3.31,3.43,5.0,0.0,MCS Limitation
17021,227624,12.0,12.66,2.22,7.78,0.0,Good UE
17025,174671,11.95,9.66,2.52,7.5,0.0,Good UE
17018,119096,13.58,10.67,3.48,7.33,0.0,Good UE
17017,119022,13.55,17.86,2.32,7.25,0.0,Good UE
17206,136647,11.87,18.56,3.2,5.67,0.0,Good UE
17017,118047,12.75,17.79,1.81,7.5,0.0,Good UE
17204,153298,11.13,12.13,3.54,7.0,2.63,Good UE
17206,135597,9.71,15.06,1.91,8.67,0.0,Good UE
17017,117447,10.98,15.2,2.72,7.75,0.0,Good UE
17021,224849,11.41,18.42,2.72,7.33,0.0,Good UE
17017,116922,10.92,9.73,2.51,7.25,0.0,Good UE
17021,223574,12.17,8.82,2.14,7.0,0.0,Good UE
17022,243599,11.82,11.4,2.54,8.0,0.0,Good UE
17018,114446,13.19,15.86,2.58,7.67,0.0,Good UE
17021,220424,12.24,17.24,2.78,7.67,0.0,Good UE
17019,202724,8.81,12.18,2.39,7.5,0.0,Good UE
17021,218924,11.2,16.31,2.93,7.67,0.0,Good UE
17164,278474,11.44,0.1,1.19,8.0,0.0,MCS Limitation
17021,218549,11.93,13.5,2.08,7.89,0.0,Good UE
17022,240899,12.53,13.47,2.66,8.22,0.0,Good UE
17204,148948,8.83,9.33,3.2,8.5,2.63,Good UE
17020,130271,11.13,17.56,2.82,8.5,0.0,Good UE
17025,165221,11.75,15.8,2.39,8.0,0.0,Good UE
17020,129521,9.61,18.45,2.34,9.0,0.0,Good UE
17025,165146,13.65,6.89,1.88,7.5,0.0,Good UE
17021,233474,11.47,14.14,2.4,8.44,0.0,Good UE
17017,109872,11.88,9.78,2.35,6.0,0.0,Good UE
17204,145498,13.59,14.27,2.54,8.0,2.63,Good UE
17206,143322,13.06,25.24,2.56,7.0,0.0,Good UE
17023,162146,7.63,2.85,1.56,6.0,0.0,MCS Limitation
17017,125172,11.88,10.72,2.09,5.0,0.0,Good UE
17022,236624,12.4,14.7,2.3,7.33,0.0,Good UE
17164,272999,9.12,3.03,2.56,9.0,0.0,MCS Limitation
17025,174821,14.18,17.97,2.74,7.5,0.0,Good UE
17204,161173,7.55,24.45,1.63,8.0,2.63,Good UE
17205,302174,12.11,9.96,2.27,7.0,0.0,Good UE
17019,211724,10.39,12.56,1.81,6.5,0.0,Good UE
17205,301799,12.66,15.09,2.42,7.0,0.0,Good UE
17164,289199,6.77,3.65,3.88,6.0,0.0,MCS Limitation
17017,120822,13.36,18.21,3.73,6.0,0.0,Good UE
17023,157946,14.1,4.0,2.95,8.0,0.0,MCS Limitation
17021,224099,12.28,15.73,2.19,7.67,0.0,Good UE
17017,119622,13.27,15.09,1.24,8.5,0.0,Good UE
17204,158848,7.72,12.46,2.75,7.5,2.63,Good UE
17022,249899,10.99,14.07,2.08,7.78,0.0,Good UE
17205,299399,11.06,8.87,1.79,6.0,0.0,Good UE
17023,155921,9.75,4.3,2.34,7.0,0.0,MCS Limitation
17025,171371,11.99,6.74,1.4,7.0,0.0,Good UE
17023,155321,14.93,3.09,2.79,8.0,0.0,MCS Limitation
17164,284399,7.71,2.31,2.47,9.0,0.0,MCS Limitation
17021,221999,12.67,10.38,2.06,7.33,0.0,Good UE
17023,154646,7.72,4.41,1.74,5.0,0.0,MCS Limitation
17021,221024,12.68,18.09,2.83,7.11,0.0,Good UE
17020,135221,11.98,16.06,3.43,6.0,0.0,Good UE
17164,282149,10.82,0.39,1.63,7.0,0.0,MCS Limitation
17021,220124,9.81,16.94,2.88,7.44,0.0,Good UE
17018,113246,7.51,14.73,3.34,8.67,0.0,Good UE
17017,114822,11.09,12.19,2.61,7.25,0.0,Good UE
17025,168521,12.76,12.86,2.49,8.5,0.0,Good UE
17164,281699,9.63,0.27,3.28,9.0,0.0,MCS Limitation
17206,132897,13.27,6.59,2.18,7.0,0.0,Good UE
17025,167846,13.07,3.77,2.6,8.5,0.0,Good UE
17019,203699,12.9,3.67,2.65,7.0,0.0,Good UE
17209,174372,12.26,18.86,3.3,9.0,0.93,Good UE
17021,235349,11.95,12.87,2.78,7.89,0.0,Good UE
17017,112497,13.17,19.77,2.24,7.25,0.0,Good UE
17021,235199,11.85,12.99,2.64,7.11,0.0,Good UE
17021,234974,11.82,12.25,2.53,6.22,0.0,Good UE
17164,278174,8.58,0.41,3.03,4.0,0.0,MCS Limitation
17206,128922,11.75,10.13,2.65,7.0,0.0,Good UE
17019,200324,11.58,20.8,2.74,7.5,0.0,Good UE
17206,128547,10.32,22.65,2.35,8.0,0.0,Good UE
17025,165671,10.84,11.05,2.32,6.5,0.0,Good UE
17022,241649,12.29,10.28,1.86,8.44,0.0,Good UE
17209,170622,11.69,11.24,2.83,8.67,0.93,Good UE
17018,126746,9.12,12.72,2.71,6.67,0.0,Good UE
17205,291824,9.57,9.79,2.78,7.5,0.0,Good UE
17023,146771,14.24,0.49,1.13,9.0,0.0,MCS Limitation
17164,273599,9.71,2.14,1.4,7.0,0.0,MCS Limitation
17021,231749,12.14,10.1,1.94,7.22,0.0,Good UE
17204,145573,13.37,20.94,2.46,8.5,2.63,Good UE
17022,238199,10.99,15.95,2.32,8.56,0.0,Good UE
17019,215024,13.98,17.4,1.51,7.0,0.0,Good UE
17205,306374,12.22,11.11,2.95,8.5,0.0,Good UE
17209,164397,11.25,14.01,2.5,7.33,0.93,Good UE
17018,122621,9.26,14.45,1.59,8.67,0.0,Good UE
17209,180447,13.23,12.27,2.87,8.0,0.93,Good UE
17017,122172,12.33,20.71,2.28,8.0,0.0,Good UE
17018,122396,10.76,10.87,1.95,8.33,0.0,Good UE
17022,253499,11.97,11.51,2.25,7.78,0.0,Good UE
17023,157721,9.46,2.44,2.03,6.0,0.0,MCS Limitation
17205,304649,10.54,9.18,2.79,9.0,0.0,Good UE
17019,211874,10.97,14.81,2.02,8.0,0.0,Good UE
17021,228674,11.82,15.89,2.95,8.11,0.0,Good UE
17021,226499,11.7,15.72,2.05,6.89,0.0,Good UE
17022,249224,11.35,13.03,2.05,8.0,0.0,Good UE
17205,301124,12.63,6.43,2.47,5.5,0.0,Good UE
17164,281849,6.45,2.41,2.44,9.0,0.0,MCS Limitation
17022,248099,12.51,17.26,2.59,7.89,0.0,Good UE
17023,153896,13.2,4.08,3.38,6.0,0.0,MCS Limitation
17021,224549,12.09,11.59,2.96,8.0,0.0,Good UE
17204,154423,13.78,25.28,2.4,7.0,2.63,Good UE
17018,115046,11.35,13.66,2.81,6.33,0.0,Good UE
17205,297974,13.21,13.36,3.28,8.0,0.0,Good UE
17205,297824,14.03,17.04,3.08,8.0,0.0,Good UE
17025,172121,13.84,3.73,3.05,7.5,0.0,Good UE
17021,222824,11.42,11.74,2.41,7.11,0.0,Good UE
17022,244724,11.04,10.92,2.5,7.22,0.0,Good UE
17209,167397,12.62,17.37,2.74,7.33,0.93,Good UE
17164,277349,10.29,1.22,1.81,5.0,0.0,MCS Limitation
17025,169046,11.79,19.15,1.88,8.5,0.0,Good UE
17022,241799,11.64,14.89,2.49,7.33,0.0,Good UE
17021,220049,13.22,12.4,2.17,6.67,0.0,Good UE
17022,241049,12.45,14.0,2.29,7.11,0.0,Good UE
17205,293999,10.67,11.19,3.08,8.5,0.0,Good UE
17164,275924,8.19,4.58,1.99,8.0,0.0,MCS Limitation
17021,219824,10.74,12.28,2.42,8.0,0.0,Good UE
17204,147298,11.37,18.55,1.79,8.0,2.63,Good UE
17164,274724,12.58,3.68,1.94,8.0,0.0,MCS Limitation
17209,165297,13.6,9.8,2.8,8.0,0.93,Good UE
17021,218324,11.19,13.82,2.14,7.44,0.0,Good UE
17019,216524,13.46,13.47,2.19,5.5,0.0,Good UE
17205,305624,12.43,14.92,2.91,8.5,0.0,Good UE
17204,160348,13.31,11.0,3.11,8.5,2.63,Good UE
17017,122322,12.76,5.48,2.74,8.25,0.0,Good UE
17209,176697,11.97,16.16,2.78,8.33,0.93,Good UE
17020,139346,13.24,14.01,2.55,7.0,0.0,Good UE
17020,138671,8.46,26.0,3.43,8.5,0.0,Good UE
17025,174746,10.87,12.84,3.11,7.5,0.0,Good UE
17206,137997,11.79,14.23,2.13,7.0,0.0,Good UE
17017,117597,11.15,16.56,2.41,8.75,0.0,Good UE
17018,115421,11.74,17.0,2.29,6.33,0.0,Good UE
17025,169196,12.16,13.99,2.77,7.0,0.0,Good UE
17204,149773,9.31,15.62,2.3,8.0,2.63,Good UE
17021,217874,13.78,7.85,2.61,7.89,0.0,Good UE
17025,165896,12.9,2.08,2.8,6.5,0.0,Good UE
17205,308549,13.4,8.02,1.73,8.5,0.0,Good UE
17209,168297,10.96,10.2,2.12,8.0,0.93,Good UE
17025,178421,13.43,3.84,2.31,9.0,0.0,Good UE
17205,305249,14.11,18.24,1.53,7.0,0.0,Good UE
17017,123972,13.09,6.97,2.42,6.75,0.0,Good UE
17021,226274,12.36,13.17,2.09,6.44,0.0,Good UE
17018,120296,10.84,15.1,2.61,8.67,0.0,Good UE
17025,173621,12.9,9.83,2.8,9.0,0.0,Good UE
17206,135147,10.55,17.52,2.39,7.67,0.0,Good UE
17025,170021,13.63,18.94,1.87,7.5,0.0,Good UE
17018,113171,10.58,12.86,1.97,6.33,0.0,Good UE
17025,167696,14.8,12.88,2.21,4.5,0.0,Good UE
17205,294224,13.44,23.45,3.0,5.5,0.0,Good UE
17209,173247,14.49,6.11,1.94,5.67,0.93,Good UE
17019,200849,12.93,4.94,1.46,7.5,0.0,Good UE
17205,292349,13.13,16.23,2.59,6.5,0.0,Good UE
17025,164321,11.05,9.81,2.71,8.0,0.0,Good UE
17020,143621,12.7,6.96,2.92,8.5,0.0,Good UE
17018,122846,11.67,13.09,2.7,6.0,0.0,Good UE
17025,180071,10.34,9.23,1.89,7.5,0.0,Good UE
17018,117221,13.99,17.07,2.14,7.67,0.0,Good UE
17019,208874,10.09,11.84,1.75,9.0,0.0,Good UE
17019,208574,11.74,8.92,2.62,8.0,0.0,Good UE
17209,172497,13.14,4.59,3.08,7.67,0.93,Good UE
